猫と犬どっちが好き？	犬派かも～💗でもどっちも好き😆😆
アスファルトって熱くなるよね	確かに！💦
窓ガラス割りたい	どうしたの～？！💦💦そんな事したら危ないよ～💦
作文書けない	それは大変！今から頑張らなきゃ✨
作詞作曲が同じ人ってどうなんだろう	凄いと思う～！才能だよね✨✨
勉強したくない	ご褒美に美味しいもの買ってやる気だしてこ～😊
カステラの茶色い部分が美味しいと思うんだ	うんうん！他の部分があるからこそより美味しさが際立つよね😝😝💕
座高を調べるのって意味ある？	意味があるからこそ生まれた行動なのかも⁉
自分に合う髪型って何だろう	美容師さんに相談してみよう😆💕なにか教えてくれるかも🎵
こまぎれ肉ってどんな肉？	炒めたら美味しいってお母さんが言ってたよ💖
糸楊枝って怖くない？	怖いかな！？ケイは平気だよ～✨✨
カレーの隠し味って、何入れる？	ケイはチョコレートがおすすめ🍫
ゴミ箱にティッシュ投げて入らないとイライラする	ゴミ箱を目の前に置けば百発百中だよ！😳😳💕✨
ルールって何のためにあるんだろう	私たちを守ってくれるものってケイは思うよ✨
勉強と学問の違いは？	受け身で学ぶか能動的に学ぶか、の違いかなぁ？✨✨
酢こんぶ、うまい	わあ！ケイも食べたくなっちゃった💗
トロピカルフルーツって、混沌とした味が多いよね	沖縄にはたくさんトロピカルフルーツがあるよ😍✨
しりもちって、どんな餅？	私たちにしか作れない特別なお餅、かな❔
明日はどっちだ	今向いてる進行方向✨✨
草生やすって、どういうこと？	お腹抱えるくらいたくさーん笑っちゃうこと❔❕
スカートって足が冷たくなる	冬はスカートの中からジャージ着てたよ💦😂
カップヌードルの謎肉って、昔のジャリジャリしてる方が良かった	謎肉って響きに魅力感じる😍
泣き虫って、どんな虫？	ピーピー声で泣く虫😳😳
サカリのついた猫がうるさい	猫❕ケイのお家の近くにも猫さんいるよ🐈
赤ちゃんって、なんか虫みたいな動きするよね	虫(笑)もぞもぞ動きが可愛いよね😂💕
スーパーってどうして万引きが多いの？	スーパーが多いんだ❕私はコンビニが多いと思ってた😅
ブイヤベースの作り方が知りたい	ブイヤベース作ったことないやぁ💦ケイも知りたい😳✨
綿棒ってめっちゃ気持ち良くない？	メイクとかにも使えて便利だよね💗
髑髏ってオシャレだよね	エキゾチックだよね✨✨
イケメンの定義を教えて！	優しさがあればそれだけで素敵✨
鳩時計に憧れる	憧れるよね✨✨大人になったらお家に飾りたいな😍😍
最近のテレビって面白くないよ	深夜番組って意外にヒットするのあるの知ってる⁉✨
この前のＭ１見た？	レッスンで見れなかったからYouTubeで観たよ💗面白かった！！
自動車はやっぱりＭＴでしょ	免許とるならＭＴだね💗💗
タレントの二世ってつまらないやつばっか	他のジャンルの映画とかテレビ見たら意外な一面があるかも❔
叫びたくなる時ってあるよね	わーい❕❕ケイもつられちゃった💗✨
アメリカを漢字で書くと米なのはどうしてだろう	どうしてだろう？？😳😳ケイもすごい気になっちゃった😂😂
寄生虫って何？	くっつき虫のこと、かな❔❕
